[03-13-2026 03:00:39] Action: Withdraw, Amount: Php 100, New Balance: Php 3621.0
[03-13-2026 03:00:42] Action: Withdraw, Amount: Php 100, New Balance: Php 3621.0
[03-13-2026 03:01:36] Action: Deposit, Amount: Php 100, New Balance: Php 3721.0
[03-13-2026 03:04:01] Action: Withdraw, Amount: Php 1000, New Balance: Php 2703.0
[03-13-2026 03:04:06] Action: Withdraw, Amount: Php 1000, New Balance: Php 2703.0
[03-13-2026 03:13:42] Action: Deposit, Amount: Php 1000, New Balance: Php 3703
[03-13-2026 03:13:44] Action: Deposit, Amount: Php 1000, New Balance: Php 3703
[03-13-2026 03:26:32] Action: Withdraw, Amount: Php 1000, New Balance: Php 2685.0
[03-13-2026 03:26:34] Action: Withdraw, Amount: Php 1000, New Balance: Php 2685.0
[03-13-2026 03:51:07] Action: Deposit, Amount: Php 100, New Balance: Php 2785
[03-13-2026 03:51:53] Action: Withdraw, Amount: Php 1000, New Balance: Php 1767.0
